date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:46	92/92	---M--	200	added ('OK')	image/png	etag:%225c-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_e.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_e.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:47	336/336	---M--	200	added ('OK')	image/png	etag:%22150-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_se.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_se.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:48	96/96	---M--	200	added ('OK')	image/png	etag:%2260-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_s.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_s.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:49	302/302	---M--	200	added ('OK')	image/png	etag:%2212e-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_sw.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_sw.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:51	87/87	---M--	200	added ('OK')	image/png	etag:%2257-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_w.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_w.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:51	327/327	---M--	200	added ('OK')	image/png	etag:%22147-583dbb4720100%22	http://neonri.com/media/system/images/modal/bg_nw.png	/home/quixote/websites/NEON/neonri.com/media/system/images/modal/bg_nw.png	(from http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731)
18:10:55	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f68-59a03936afc11%22	http://neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons.eot?5510888	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:10:55	188003/188003	---M--	200	added ('OK')	image/jpeg	etag:%222de63-59a508b77365f%22	http://neonri.com/images/ArticleImages/aesthetic.jpg	/home/quixote/websites/NEON/neonri.com/images/ArticleImages/aesthetic.jpg	(from http://neonri.com/)
18:10:57	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%221d70-59a03936afc11%22	http://neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons.woff?5510888	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons90c6.woff	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:10:57	11968/11968	---M--	200	added ('OK')	application/font-sfnt	etag:%222ec0-59a03936afc11%22	http://neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons.ttf?5510888	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:10:57	13691/13691	---M--	200	added ('OK')	image/svg+xml	etag:%22357b-59a03936afc11%22	http://neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons.svg?5510888	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:10:59	326/326	---M--	200	added ('OK')	text/html	etag:%22146-59a03936abd91%22	http://neonri.com/media/com_revslider/public/assets/css/openhand.cur	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/css/openhand.html	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:10:59	326/326	---M--	200	added ('OK')	text/html	etag:%22146-59a03936abd91%22	http://neonri.com/media/com_revslider/public/assets/css/closedhand.cur	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/css/closedhand.html	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:00	933/933	---M--	200	added ('OK')	image/png	etag:%223a5-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/gridtile.png	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/gridtile.png	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:01	951/951	---M--	200	added ('OK')	image/png	etag:%223b7-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/gridtile_white.png	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/gridtile_white.png	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:02	938/938	---M--	200	added ('OK')	image/png	etag:%223aa-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/gridtile_3x3.png	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/gridtile_3x3.png	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:03	935/935	---M--	200	added ('OK')	image/png	etag:%223a7-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/gridtile_3x3_white.png	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/gridtile_3x3_white.png	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:04	184/184	---M--	200	added ('OK')	image/png	etag:%22b8-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/coloredbg.png	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/coloredbg.png	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:05	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-59a03936212da%22	http://neonri.com/media/com_revslider/public/assets/assets/loader.gif	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/assets/loader.gif	(from http://neonri.com/media/com_revslider/public/assets/css/settings.css)
18:11:09	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-59a03936adcd1%22	http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.html	(from http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome.css?rev=5.4.1)
18:11:31	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-59a03936adcd1%22	http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome.css?rev=5.4.1)
18:11:32	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-59a03936acd31%22	http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome.css?rev=5.4.1)
18:11:35	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%226d24a-59a03936acd31%22	http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome.css?rev=5.4.1)
